CO_ID,YYYY/MM,Quarter,consolidation,Month,Currency,Total cash and cash equivalents,Total due from the central bank and call loans to banks,Total financial assets at fair value through profit or loss,"Derivative financial assets, net","Securities purchased under resell agreements, net","Receivables, net",Total current tax assets,"Assets classified as held for sale, net","Discounts and loans, net","Financial assets at fair value through other comprehensive income, net","Financial assets measured at amortized cost, net","Investments measured by equity method, net","Restricted assets, net","Other financial assets, net","Total property, plant and equipment",Right of use assets,"Investment property, net","Intangible assets, net",Total deferred tax assets,"Other assets, net",Total assets,Total deposits from the central bank and banks,Total due to the central bank and banks,Total financial liabilities at fair value through profit or loss,"Derivative financial liabilities, net",Financial liabilities measured at amortized cost,Total notes and bonds issued under repurchase agreement,Commercial Paper Payable,Total payables,Total current tax liabilities,Total liabilities related to assets classified as held for sale,Total deposits and remittances,Bonds & Convertible,Total preferred stock liabilities,Total other financial liabilities,Total provisions,Lease liabilities,Accrued Pension Payable,Total deferred income tax liabilities,Total other liabilities,Total liabilities,Common stock,Preferred stock,Advance receipts for capital stock,Reserve for capitalization,Employee Stock Option,Total capital,Total capital surplus,Legal reserve,Special reserve,Total unappropriated earnings,Total retained earnings,Exchange differences on translation of foreign financial statements,Total unrealized gains (losses) on fin. assets at fair value through OCI,Credit risk on fair value measurement of financial liabilities,Remeasurement of defined benefit plans,Total gains (losses) on hedging instrument,"Total revaluation of property, plant, and equipment",Total equity related to assets classified as held for sale,Unearned compensation,"Other equity, others",Total other equity interest,Total Treasury shares,Total equity attributable to owners of parent,Non-controlling interests,Interests in the former associate or jointly controlled entity,Non-controlling interest in pre-acquisition share capital,Total equity,Total Liabilities & Equity
000024 CA-CIB,2024/09,3,N,09,NTD,"28,752","62,972","19,421,559",0,0,"10,937,006","-16,918",0,"53,179,026","309,490","16,424,832",0,0,0,"64,084","212,133",0,0,0,"37,649,988","138,272,924",0,"1,100,000","18,306,713",0,0,0,0,"1,418,781","44,308",0,"71,405,947","8,100,000",0,0,"693,578","223,508",0,"52,805","30,671,354","132,016,994","2,760,820",0,0,0,0,"2,760,820",0,0,0,"3,489,247","3,489,247",-,-,-,-,-,-,-,-,-,"5,863",0,"6,255,930",0,0,0,"6,255,930","138,272,924"
000026 ING Taipei,2024/09,3,N,09,NTD,"1,567,028","581,161","21,604,163",0,0,"48,292,125","22,200",0,"30,484,943",0,0,0,0,0,"5,997","22,386",0,0,"358,136","51,082,302","154,020,441",0,0,"7,202,490","45,161",0,0,0,"2,377,950","13,055",0,"69,901,743",0,0,"957,474","148,482","23,699",0,0,"69,505,517","150,175,571","430,000",0,0,0,0,"430,000",0,0,0,"3,370,217","3,370,217","44,653",0,0,0,0,0,0,0,0,"44,653",0,"3,844,870",0,0,0,"3,844,870","154,020,441"
